Category,Dataset,Provider/Platform,Imagery/Sensor,GSD,TileSize,Samples,LabelType,LabelSource,Geography,Landscapes,ViewingAngle,License,Format/Size,Role,Caveat
Training,GAMUS,Earthflow / Hugging Face,Aerial ortho RGB,~0.3-0.5 m (VERIFY),1024x1024,~11507 tiles,nDSM (height AGL) meters,Airborne LiDAR,"5 US cities (Oklahoma, DC, Philadelphia, Jacksonville, NYC)",Urban/suburban,Nadir,CC-BY-4.0,HDF5 / ~80 GB,SELECTED core trainer,US-only morphology; GSD unconfirmed
Training,DFC2019 / US3D,IEEE GRSS / JHU-APL,WorldView-3 satellite (multi-date),~1.3 m,1024x1024 (crop 256),~2783 triplets,nDSM + DSM + semantic,Airborne LiDAR,"Jacksonville FL, Omaha NE (US)",Urban/suburban,Near-nadir,Open (contest),GeoTIFF,OPTIONAL satellite-domain match,US; overlaps GAMUS
Training,Open-Canopy,IGN / LiDAR-HD (France),SPOT 6/7 satellite RGB,1.5 m,VERIFY,87000 km2 coverage,Canopy height (= veg nDSM),Aerial LiDAR-HD,France,Forested,Nadir,Open,Raster,OPTIONAL forested slice,French forests; 1.5 m GSD
Training,GBH (Global Building Height),Academic,PLANET optical,~3 m,VERIFY,19 cities (2013-2021),nDSM + building footprints,Open LiDAR,19 cities worldwide,Urban/sparse/global,Near-nadir,VERIFY,Raster,OPTIONAL global/sparse diversity,~3 m GSD coarse
Training,ISPRS Vaihingen/Potsdam,ISPRS,Aerial IRRG/RGB,0.09 m / 0.05 m,~2000x2000,33 tiles (Vaih.),DSM/nDSM,Dense image matching,Germany (urban),Urban,Nadir,Open benchmark,TIFF,OPTIONAL ultra-hi-res edge reference,Tiny; European urban only
Training,ETH Global Canopy Height,ETH Zurich,Sentinel-2 + GEDI,10 m,Global raster,Global,Canopy height,GEDI spaceborne LiDAR,Global,Forested,Nadir,Open,GeoTIFF,ALT canopy (coarse),10 m too coarse for buildings
Training,SpaceNet-4 (off-nadir),SpaceNet / CosmiQ,WorldView-2 7-54 deg off-nadir,~0.5 m,~900x900,~126k footprints,Building footprints (no dense nDSM),Manual + LiDAR,Atlanta (US),Urban,OFF-NADIR (7-54 deg),CC-BY-SA (VERIFY),GeoTIFF,V2 ONLY - only real off-nadir source,Footprints not dense height; US
Training,Synthetic oblique from GAMUS,(derived),Warp/re-render GAMUS,n/a,n/a,n/a,nDSM (fabricated),n/a,n/a,n/a,Synthetic oblique,n/a,n/a,REJECTED,Corrupts labels / fabricates walls+occlusions
DEM-base,Copernicus GLO-30,ESA / Airbus (TanDEM-X),DSM,30 m,n/a,Global,Surface elevation (DSM),TanDEM-X radar,Global,All,n/a,Open,GeoTIFF,SELECTED preferred global base,Includes surface (DSM); ~2-4 m vertical
DEM-base,SRTM 30 m,NASA / USGS,DSM (radar),30 m (1 arc-sec),n/a,Near-global (+-60 lat),Surface elevation,SAR interferometry,Near-global,All,n/a,Open,GeoTIFF,SELECTED global base (brief-blessed),Voids in steep terrain; ~16 m LE90
DEM-base,CartoDEM v3,ISRO / NRSC (Bhuvan),DEM (optical stereo),30 m (1 arc-sec),n/a,India,Terrain elevation,Cartosat-1 stereo,India,All,n/a,Open (Bhuvan),GeoTIFF,SELECTED India base + validation,ISRO own product; terrain RMSE ~1.2-1.8 m; India only
